M;L;dataname;model;n_neighs;points;1-NN;T;C;status;dimensions;restricted;artificial_connected
iterative;k2;coil20;mvu.based;10;1440;0.09722;0.972;0.997;Solved;9;None;True
iterative;k2;coil20;mvu.based;11;1440;0.11319;0.963;0.996;Solved;9;None;True
iterative;k2;coil20;mvu.based;12;1440;0.18889;0.95;0.992;Solved;12;None;None
iterative;k2;coil20;mvu.based;13;1440;0.18611;0.95;0.992;Solved;12;None;None
iterative;k2;coil20;mvu.based;14;1440;0.10486;0.963;0.996;Solved;10;None;None
iterative;k2;coil20;mvu.based;15;1440;0.04861;0.981;0.998;Solved;10;None;None
iterative;k2;mit-cbcl;mvu.based;5;2059;0.31909;0.867;0.99;Solved;3;None;True
iterative;k2;mit-cbcl;mvu.based;6;2059;0.05391;0.965;0.995;Solved;5;None;True
iterative;k2;mit-cbcl;mvu.based;7;2059;0.05634;0.952;0.994;Solved;5;None;True
iterative;k2;mit-cbcl;mvu.based;8;2059;0.06702;0.969;0.996;Solved;4;None;True
iterative;k2;mit-cbcl;mvu.based;9;2059;0.03254;0.986;0.997;Solved;6;None;True
iterative;k2;mit-cbcl;mvu.based;10;2059;0.02865;0.988;0.997;Solved;8;None;True
iterative;k2;mit-cbcl;mvu.based;11;2059;0.0374;0.985;0.997;Solved;6;None;None
iterative;k2;mit-cbcl;mvu.based;12;2059;0.04322;0.979;0.996;Solved;4;None;None
iterative;k2;mit-cbcl;mvu.based;13;2059;0.05585;0.971;0.995;Solved;4;None;None
iterative;k2;mit-cbcl;mvu.based;14;2059;0.02331;0.99;0.997;Solved;5;None;None
iterative;k2;mit-cbcl;mvu.based;15;2059;0.02865;0.989;0.997;Solved;5;None;None
